Alpha,Cl,Cd
-16.0,-0.8294393638152217,0.1721021215156189
-15.0,-0.8709768520107506,0.1635798807366875
-14.0,-0.9191701886035836,0.15555577619813618
-13.0,-0.9756034296851104,0.14803998332894003
-12.0,-1.0423855237080146,0.14104203125208015
-11.0,-1.1223887917830344,0.1345707910613727
-10.0,-1.2196305040930415,0.1286344649082666
-9.0,-1.3399088496043705,0.12324057591193699
-8.0,-1.4919158934186307,0.11839595890499761
-7.0,-1.6893045096238866,0.11410675202613396
-6.0,-1.9548222612929222,0.11037838916992451
-5.0,-2.329405953884519,0.10721559330307054
-4.0,-0.197,0.0077
-3.0,-0.0877,0.00708
-2.0,0.0219,0.0066
-1.0,0.1304,0.00609
0.0,0.2372,0.00565
1.0,0.3416,0.00548
2.0,0.45,0.00578
3.0,0.5921,0.00635
4.0,0.7148,0.00693
5.0,0.8095,0.00775
6.0,0.902,0.00905
7.0,0.9946,0.01068
8.0,1.0874,0.01234
9.0,1.1796,0.01393
10.0,1.2672,0.01566
11.0,1.3464,0.01767
